checked_items,tone,category
아동_장소_병원|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_일정변화_기다리기,strict,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_미리알림_10분 전,strict,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_장소_병원방문|아동_일정변화_기다리기|아동_미리알림_10분 전,strict,hospital_waiting
일정_장소_병원방문|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_장소_병원방문|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_환경_대기시간있음|아동_일정변화_기다리기|아동_미리알림_10분 전,strict,hospital_waiting
일정_환경_대기시간있음|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_환경_대기시간있음|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
아동_일정변화_기다리기|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
아동_장소_병원|일정_장소_병원방문|일정_환경_대기시간있음|아동_일정변화_기다리기,strict,hospital_waiting
아동_장소_병원|일정_장소_병원방문|일정_환경_대기시간있음|아동_미리알림_10분 전,strict,hospital_waiting
아동_장소_병원|일정_장소_병원방문|일정_환경_대기시간있음|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_일정변화_기다리기|아동_미리알림_10분 전,strict,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_일정변화_기다리기|아동_미리알림_10분 전,strict,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
아동_장소_병원|아동_일정변화_기다리기|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_일정변화_기다리기|아동_미리알림_10분 전,strict,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_장소_병원방문|아동_일정변화_기다리기|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_환경_대기시간있음|아동_일정변화_기다리기|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
일정_활동_진료있음|일정_활동_검사있음|일정_활동_주사또는치료있음,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_환경_신체 접촉,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_장소_병원,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉,kind,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_장소_병원,kind,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|아동_환경_신체 접촉|아동_장소_병원,kind,medical_procedure
일정_활동_진료있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉,kind,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_장소_병원,kind,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_검사있음|아동_환경_신체 접촉|아동_장소_병원,kind,medical_procedure
일정_활동_검사있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_검사있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_장소_병원,kind,medical_procedure
일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_주사또는치료있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
아동_환경_신체 접촉|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|일정_활동_주사또는치료있음|아동_장소_병원,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|일정_활동_주사또는치료있음|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_환경_신체 접촉|아동_장소_병원,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_장소_병원,kind,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|아동_환경_신체 접촉|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_장소_병원,kind,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_검사있음|아동_환경_신체 접촉|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,kind,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|일정_활동_주사또는치료있음,strict,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_환경_신체 접촉,strict,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_장소_병원,strict,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉,strict,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_장소_병원,strict,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_진료있음|아동_환경_신체 접촉|아동_장소_병원,strict,medical_procedure
일정_활동_진료있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_진료있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉,strict,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_장소_병원,strict,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_검사있음|아동_환경_신체 접촉|아동_장소_병원,strict,medical_procedure
일정_활동_검사있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_검사있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_장소_병원,strict,medical_procedure
일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_주사또는치료있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
아동_환경_신체 접촉|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉,strict,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|일정_활동_주사또는치료있음|아동_장소_병원,strict,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|일정_활동_주사또는치료있음|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_환경_신체 접촉|아동_장소_병원,strict,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_진료있음|일정_활동_검사있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_장소_병원,strict,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_진료있음|일정_활동_주사또는치료있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_진료있음|아동_환경_신체 접촉|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_장소_병원,strict,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_검사있음|일정_활동_주사또는치료있음|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_검사있음|아동_환경_신체 접촉|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
일정_활동_주사또는치료있음|아동_환경_신체 접촉|아동_장소_병원|아동_설명_한번에 하나씩 말해주세요,strict,medical_procedure
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_냄새,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_신체 접촉,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_큰소리있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|아동_환경_신체 접촉,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_큰소리있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_큰소리있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|아동_환경_신체 접촉,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_큰소리있음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_큰소리있음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_밝은 빛|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_큰소리있음,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_냄새강함,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_사람많음,kind,sensory_support
아동_환경_냄새|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_냄새|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_냄새|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_냄새|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_냄새|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_냄새|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_신체 접촉|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_신체 접촉|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_신체 접촉|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
일정_환경_큰소리있음|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
일정_환경_큰소리있음|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
일정_환경_큰소리있음|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
일정_환경_밝은빛있음|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_냄새|아동_환경_신체 접촉,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_냄새|일정_환경_큰소리있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_냄새|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_냄새|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_냄새|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_큰소리있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_밝은 빛|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|아동_환경_신체 접촉|일정_환경_큰소리있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|아동_환경_신체 접촉|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|아동_환경_신체 접촉|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|아동_환경_신체 접촉|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_냄새|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|아동_환경_신체 접촉|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|일정_환경_큰소리있음|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_큰 소리|일정_환경_큰소리있음|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|일정_환경_큰소리있음|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_큰 소리|일정_환경_밝은빛있음|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|아동_환경_신체 접촉|일정_환경_큰소리있음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|아동_환경_신체 접촉|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|아동_환경_신체 접촉|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|아동_환경_신체 접촉|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_냄새|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|아동_환경_신체 접촉|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|일정_환경_큰소리있음|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_밝은 빛|일정_환경_큰소리있음|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|일정_환경_큰소리있음|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_밝은 빛|일정_환경_밝은빛있음|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_밝은빛있음,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_큰소리있음|일정_환경_사람많음,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
아동_환경_냄새|아동_환경_신체 접촉|일정_환경_냄새강함|일정_환경_사람많음,kind,sensory_support
아동_환경_냄새|일정_환경_큰소리있음|일정_환경_밝은빛있음|일정_환경_냄새강함,kind,sensory_support
아동_환경_냄새|일정_환경_큰소리있음|일정_환경_밝은빛있음|일정_환경_사람많음,kind,sensory_support
